fr_Nhpyrrole,fr_SH,fr_amide,fr_benzene,fr_bicyclic,fr_guanido,fr_imidazole,fr_para_hydroxylation,fr_phenol,fr_sulfide,AvgIpc,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex
0,0,15,2,0,1,0,0,1,0,1.623382490128022,0.4333333333333333,0.8333333333333334,1.316666666666667,14.77305677495309,14.77305677495309,-1.686586084294837
1,0,10,0,0,0,1,0,0,0,4.276219130841575,0.5679012345679012,0.9753086419753086,1.432098765432099,14.70786744134104,14.70786744134104,-1.72709800607051
2,0,16,1,1,0,1,1,0,0,1.633119099050869,0.4365079365079365,0.8412698412698413,1.301587301587302,15.1066355779462,15.1066355779462,-1.897123122280634
1,0,24,2,0,0,1,0,1,0,1.65970057041448,0.3138297872340425,0.6223404255319149,1.021276595744681,14.96029855501939,14.96029855501939,-2.243742176919255
0,0,23,3,0,0,0,0,0,0,1.649736516315361,0.3055555555555556,0.6166666666666667,1.005555555555556,15.15566372364081,15.15566372364081,-2.086978748329272
0,0,15,3,0,1,0,0,0,0,1.693494747618997,0.4132231404958678,0.7768595041322314,1.198347107438017,15.15547393172108,15.15547393172108,-1.858799167838788
0,0,9,1,0,1,0,0,0,0,4.181176056627327,0.6666666666666666,1.173333333333333,1.68,14.38225393453974,14.38225393453974,-1.239417245175692
0,0,14,1,0,1,0,0,1,1,1.517844376868971,0.5370370370370371,1.0,1.5,15.08509189526676,15.08509189526676,-1.926271627879409
1,0,16,2,0,0,1,0,2,0,1.613843645166729,0.4508196721311475,0.8114754098360656,1.204918032786885,14.88986656018669,14.88986656018669,-1.902006689025467
0,0,14,0,0,2,0,0,0,0,4.376615778186635,0.4382022471910113,0.797752808988764,1.224719101123596,14.04691511661895,14.04691511661895,-1.932043928786606
0,0,12,1,0,0,0,0,1,0,4.326169793204602,0.5903614457831325,1.08433734939759,1.614457831325301,14.2873399262523,14.2873399262523,-1.947201353018673
1,1,10,0,0,1,1,0,0,0,4.417397939675797,0.6385542168674698,1.132530120481928,1.662650602409639,14.27683060656926,14.27683060656926,-1.840357049389037
0,0,14,0,0,1,0,0,0,0,4.003294957533812,0.5301204819277109,0.963855421686747,1.44578313253012,14.31463764296359,14.31463764296359,-1.962254933859532
0,0,5,0,0,0,0,0,0,0,2.747353735236103,0.8571428571428571,1.457142857142857,1.914285714285714,12.88680555295274,12.88680555295274,-1.553479886045863
0,0,1,1,0,0,0,0,0,0,2.438574517919543,1.3,1.9,2.4,11.98318263416478,11.98318263416478,-1.028137860082304
0,0,19,2,0,1,0,0,1,0,1.639102729630599,0.3666666666666666,0.72,1.166666666666667,15.04348236113041,15.04348236113041,-1.705400592908606
0,0,10,1,0,1,0,0,1,0,4.236942399577017,0.6219512195121951,1.134146341463415,1.646341463414634,14.29477617465279,14.29477617465279,-1.549814958208474
0,0,15,2,0,1,0,0,1,0,1.720097638972316,0.4621848739495799,0.8823529411764706,1.344537815126051,14.54333041409446,14.54333041409446,-1.585100459019853
0,0,11,1,0,1,0,0,0,0,3.557537234884632,0.4431818181818182,0.7954545454545454,1.170454545454545,14.2722541838313,14.2722541838313,-1.929459067445922
0,0,10,3,0,0,0,0,0,0,2.461800614341116,0.5056179775280899,0.9775280898876404,1.471910112359551,14.84616703710498,14.84616703710498,-1.561868534822119
2,0,16,0,0,1,2,0,0,0,1.737390883315156,0.472,0.888,1.336,15.04474951079956,15.04474951079956,-1.648417635277609
2,0,25,0,0,2,2,0,0,0,1.684940933570016,0.3243243243243243,0.6324324324324324,1.010810810810811,15.15900694998109,15.15900694998109,-2.090255188893801
0,0,13,2,0,1,0,0,1,0,1.623021840176534,0.5,0.9519230769230769,1.442307692307692,14.40602894620453,14.40602894620453,-1.574823358739897
1,0,7,0,0,0,1,0,0,0,3.730347540148768,0.803921568627451,1.411764705882353,1.96078431372549,13.67435140304569,13.67435140304569,-1.895096209297995
0,0,8,0,0,0,0,0,0,0,3.232073001304292,0.375,0.6388888888888888,0.9166666666666666,13.76039723023936,13.76039723023936,-2.155135569822606
0,0,5,2,0,0,0,0,2,0,3.567129329744041,0.82,1.4,1.94,13.3271285350067,13.3271285350067,-1.517132884540165
3,0,12,1,0,0,3,0,0,1,1.680975118921789,0.5238095238095238,0.9809523809523809,1.514285714285714,14.79834452853386,14.79834452853386,-1.731181165423137
0,0,9,1,0,0,0,0,1,0,3.222366325852771,0.5757575757575758,1.03030303030303,1.515151515151515,13.63083379021027,13.63083379021027,-1.891045745899624
0,1,10,0,0,0,0,0,0,1,3.526919589612682,0.4235294117647059,0.7411764705882353,1.105882352941177,13.98882393684879,13.98882393684879,-2.227446634783532
0,0,4,2,0,0,0,0,2,0,3.458137360961024,0.8571428571428571,1.428571428571429,1.976190476190476,13.1394492452457,13.1394492452457,-1.476561724068073
